Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S,Uncertainty
1880,-.17,-.31,-.04,-.40,-.12,-.01,-.82,-.51,-.31,-.16,-.09,-.03,.05,.68,0.10928347471483259
1881,-.09,-.20,.01,-.38,.11,-.07,-.93,-.49,-.22,.09,.12,-.05,-.07,.61,0.10362975359224419
1882,-.11,-.23,.00,-.33,-.05,.01,-1.42,-.30,-.18,-.06,-.04,.01,.04,.64,0.10774155077230844
1883,-.18,-.30,-.06,-.37,-.16,-.01,-.18,-.58,-.29,-.19,-.14,-.03,.07,.51,0.10697058880104637
1884,-.29,-.44,-.14,-.62,-.14,-.13,-1.31,-.66,-.49,-.14,-.15,-.18,-.02,.66,0.11442322118991285
1885,-.34,-.45,-.24,-.67,-.13,-.27,-1.51,-.70,-.47,-.08,-.19,-.33,-.15,.83,0.11750706907496103
1886,-.32,-.45,-.19,-.58,-.20,-.21,-1.59,-.53,-.42,-.22,-.17,-.19,-.20,.60,0.11236732259988075
1887,-.37,-.45,-.28,-.54,-.30,-.28,-1.77,-.54,-.31,-.31,-.29,-.27,-.26,.33,0.10388674091599825
1888,-.17,-.25,-.11,-.43,.10,-.28,-1.31,-.45,-.26,.06,.15,-.30,-.22,.17,0.08384172966318502
1889,-.11,-.19,-.03,-.31,.08,-.16,-.69,-.24,-.29,.01,.15,-.15,-.15,.46,0.083070767691923
1890,-.36,-.40,-.32,-.47,-.37,-.22,-1.14,-.58,-.28,-.28,-.47,-.17,-.27,.16,0.07921595783561276
1891,-.23,-.27,-.19,-.43,-.08,-.21,-1.11,-.35,-.37,-.01,-.16,-.18,-.23,-.14,0.07972993248312081
1892,-.28,-.41,-.15,-.44,-.30,-.07,-1.12,-.66,-.18,-.35,-.25,.03,-.21,.10,0.08204281839690697
1893,-.32,-.49,-.15,-.51,-.37,-.04,-.66,-.55,-.48,-.44,-.30,.07,-.20,-.03,0.07947294515936675
1894,-.31,-.40,-.21,-.33,-.34,-.23,-.96,-.34,-.19,-.50,-.18,-.14,-.35,-.36,0.08461269163444701
1895,-.23,-.32,-.14,-.42,-.08,-.25,-.70,-.54,-.28,-.16,.00,-.19,-.31,-.57,0.07664608459807258
1896,-.12,-.21,-.03,-.37,.08,-.15,-.91,-.39,-.24,.03,.14,-.15,-.13,.27,0.08307076769192297
1897,-.12,-.18,-.05,-.37,.16,-.23,-.58,-.48,-.26,.13,.20,-.19,-.27,.42,0.07433319868428645
1898,-.28,-.30,-.26,-.37,-.23,-.26,-1.18,-.26,-.26,-.19,-.27,-.28,-.21,.39,0.07613210995056457
1899,-.19,-.23,-.14,-.26,-.13,-.19,-1.07,-.13,-.17,-.17,-.08,-.15,-.21,.60,0.07870198318810472
1900,-.09,-.11,-.07,-.22,.16,-.30,-.58,-.19,-.17,.08,.25,-.29,-.29,.28,0.08024390713062882
1901,-.16,-.14,-.18,-.18,-.05,-.30,-.40,-.14,-.16,-.07,-.02,-.28,-.33,.27,0.07972993248312077
1902,-.29,-.35,-.22,-.56,-.05,-.35,-1.55,-.53,-.33,-.04,-.06,-.28,-.43,-.03,0.08075788177813686
