# Title: Global Land and Ocean March Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1901-2000
Year,Anomaly
1900,0.03
1901,0.11
1902,-0.27
1903,-0.21
1904,-0.39
1905,-0.20
1906,-0.18
1907,-0.25
1908,-0.48
1909,-0.46
1910,-0.46
1911,-0.61
1912,-0.37
1913,-0.45
1914,-0.24
1915,-0.01
1916,-0.20
1917,-0.66
1918,-0.34
1919,-0.24
1920,-0.14
1921,-0.27
1922,-0.14
1923,-0.38
1924,-0.05
1925,-0.24
1926,0.10
1927,-0.34
1928,-0.22
1929,-0.30
1930,-0.16
1931,-0.06
1932,-0.11
1933,-0.21
1934,-0.26
1935,-0.16
1936,-0.19
1937,-0.19
1938,0.08
1939,-0.21
1940,0.13
1941,0.14
1942,0.08
1943,-0.04
1944,0.31
1945,0.08
1946,-0.04
1947,0.05
1948,-0.21
1949,0.03
1950,-0.06
1951,-0.13
1952,-0.03
1953,0.17
1954,-0.12
1955,-0.29
1956,-0.13
1957,-0.07
1958,0.13
1959,0.22
1960,-0.24
1961,0.12
1962,0.16
1963,-0.10
1964,-0.21
1965,-0.13
1966,0.00
1967,0.04
1968,0.16
1969,0.08
1970,0.11
1971,-0.11
1972,0.08
1973,0.29
1974,-0.06
1975,0.16
1976,-0.15
1977,0.23
1978,0.22
1979,0.17
1980,0.35
1981,0.46
1982,0.05
1983,0.42
1984,0.31
1985,0.22
1986,0.31
1987,0.19
1988,0.52
1989,0.32
1990,0.75
1991,0.37
1992,0.47
1993,0.37
1994,0.30
1995,0.51
1996,0.38
1997,0.52
1998,0.64
1999,0.36
2000,0.53
2001,0.54
2002,0.83
2003,0.59
2004,0.67
2005,0.74
2006,0.65
2007,0.68
2008,0.71
2009,0.53
2010,0.90
2011,0.65
2012,0.54
2013,0.65
2014,0.80
2015,0.94
2016,1.33
2017,1.11
2018,0.88
2019,1.15
2020,1.14
2021,0.89
2022,1.07
2023,1.22
2024,1.34
