Average depth (m), Gas (yr AD), CO2 concentration (ppmv), unc
187.70, 1744, 276.8, 1.5
177.50, 1764, 276.7, 1.5
168.30, 1791, 279.7, 1.5
154.89, 1816, 283.8, 1.5
142.75, 1839, 283.1, 1.5
140.75, 1843, 287.4, 1.5
138.20, 1847, 286.8, 1.5
134.47, 1854, 288.2, 1.5
126.80, 1869, 289.3, 1.5
123.80, 1874, 289.5, 1.5
121.80, 1878, 290.3, 1.5
116.82, 1887, 292.3, 1.5
110.20, 1899, 295.8, 1.5
108.80, 1903, 294.8, 1.5
107.20, 1905, 296.9, 1.5
105.25, 1909, 299.2, 1.5
101.80, 1915, 300.5, 1.5
 98.80, 1921, 301.6, 1.5
 95.17, 1927, 305.5, 1.5
 90.77, 1935, 306.6, 1.5
 86.80, 1943, 307.9, 1.5
 81.22, 1953, 312.7, 1.5
